Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
102,112,0,LAC,0.435,0.519,0.39399999999999996,0.355,20,14,24,14,85,21,81,24,9,11,102.31974921630093,112.35109717868339,1.4285714285714286,1.7142857142857142,99.6875,16,17
95,86,1,UTA,0.395,0.414,0.308,0.32,19,14,19,22,86,24,70,21,11,3,88.21822402785838,79.86070806732444,1.3571428571428572,0.8636363636363636,107.6875,16,21
120,101,1,CHO,0.527,0.385,0.355,0.28600000000000003,30,13,19,14,93,14,91,23,10,13,115.62085993014574,97.31422377453933,2.3076923076923075,1.3571428571428572,103.7875,16,9
120,91,1,MEM,0.465,0.326,0.26899999999999996,0.20600000000000002,25,18,20,21,86,39,95,23,10,13,110.37020004598759,83.69740170154058,1.3888888888888888,0.9523809523809523,108.725,16,24
119,110,0,DAL,0.49,0.392,0.281,0.389,24,11,23,22,96,21,102,23,6,18,107.25552050473188,99.14375844975216,2.1818181818181817,1.0454545454545454,110.94999999999999,16,22
103,96,0,SAS,0.483,0.39799999999999996,0.25,0.24,21,18,23,17,87,19,83,29,7,8,95.01845018450183,88.56088560885608,1.1666666666666667,1.3529411764705883,108.4,16,26
118,112,0,CHI,0.489,0.506,0.33299999999999996,0.43799999999999994,26,15,22,16,92,24,85,23,12,7,108.09572884461241,102.59933585251346,1.7333333333333334,1.375,109.1625,16,11
95,80,1,MIA,0.449,0.35,0.25,0.171,30,18,18,12,89,8,80,24,10,8,92.5925925925926,77.97270955165693,1.6666666666666667,1.5,102.6,16,5
104,113,1,TOR,0.436,0.483,0.33299999999999996,0.33299999999999996,31,12,26,13,94,19,89,22,13,7,97.89386986704316,106.36545475938344,2.5833333333333335,2.0,106.23750000000001,16,2
123,115,0,PHO,0.537,0.473,0.4,0.42100000000000004,39,9,32,11,95,21,91,17,8,6,114.92641906096705,107.4515300163513,4.333333333333333,2.909090909090909,107.025,16,25
