Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
108,100,0,POR,0.42,0.414,0.563,0.25,24,19,13,20,81,27,87,23,11,13,107.59651307596513,99.62640099626401,1.263157894736842,0.65,100.375,18,23
108,107,1,PHO,0.391,0.395,0.259,0.28600000000000003,21,14,25,17,92,36,86,32,8,10,94.19973833406019,93.32751853467073,1.5,1.4705882352941178,114.65,18,25
101,94,0,SAC,0.36700000000000005,0.396,0.278,0.324,19,10,25,12,98,21,91,16,19,15,100.2108396378519,93.26553392037702,1.9,2.0833333333333335,100.7875,18,27
106,109,1,DAL,0.473,0.488,0.344,0.35100000000000003,24,10,29,8,91,13,84,24,14,10,109.51827457057988,112.61784837918121,2.4,3.625,96.7875,18,22
107,122,0,NOP,0.483,0.532,0.26899999999999996,0.455,24,14,30,15,89,16,77,32,5,2,96.05026929982046,109.51526032315977,1.7142857142857142,2.0,111.4,18,28
91,87,0,ORL,0.37,0.43,0.321,0.207,15,13,22,15,73,39,86,11,7,10,100.69156293222683,96.2655601659751,1.1538461538461537,1.4666666666666666,90.375,18,8
109,89,1,MIA,0.523,0.364,0.391,0.31,35,19,23,13,86,16,88,25,9,13,108.20201017495967,88.34843032634322,1.8421052631578947,1.7692307692307692,100.7375,18,5
100,97,1,PHI,0.44799999999999995,0.442,0.409,0.5,28,10,28,17,87,17,86,17,7,11,100.42681395932713,97.41400954054733,2.8,1.6470588235294117,99.575,18,6
100,98,0,MIN,0.386,0.35100000000000003,0.39299999999999996,0.133,26,20,22,12,101,17,97,33,14,15,87.43169398907104,85.68306010928963,1.3,1.8333333333333333,114.375,18,29
121,125,1,ATL,0.442,0.53,0.268,0.441,31,3,30,14,104,22,83,34,15,10,106.79611650485437,110.32656663724624,10.333333333333334,2.142857142857143,113.30000000000001,18,14
101,93,1,BRK,0.426,0.379,0.303,0.21100000000000002,26,7,19,7,101,10,95,16,14,7,97.4198215577526,89.70340004822764,3.7142857142857144,2.7142857142857144,103.675,18,7
