Team Score,Opp Score,Home/Away,Opponent,Team FG%,Opponent FG%,Team 3P%,Opponent 3P%,Team AST,Team TOV,Opponent AST,Opponent TOV,Team FGA,Team FTA,Opponent FGA,Opponent FTA,Team ORB,Opponent ORB,ORtg,DRtg,Ast_Tov_Team,Ast_Tov_Opp,Possession,Team,Opponent_num
105,85,0,HOU,0.506,0.345,0.48100000000000004,0.22899999999999998,26,21,17,16,79,18,87,26,9,15,109.43199583116208,88.58780614903597,1.2380952380952381,1.0625,95.94999999999999,18,19
78,95,1,MIN,0.305,0.423,0.2,0.182,15,14,18,17,95,20,71,41,17,7,69.0341851974776,84.08009735590221,1.0714285714285714,1.0588235294117647,112.9875,18,29
93,117,0,OKC,0.38,0.523,0.34600000000000003,0.52,20,13,32,19,92,19,86,18,14,13,90.03993706886119,113.27604986082538,1.5384615384615385,1.6842105263157894,103.2875,18,20
120,109,0,LAL,0.506,0.419,0.35,0.231,30,14,18,10,85,31,86,38,11,11,117.20180686118913,106.45830789891346,2.142857142857143,1.8,102.38749999999999,18,16
84,96,1,UTA,0.389,0.435,0.25,0.45799999999999996,16,13,23,10,72,34,85,17,11,12,99.86625055728933,114.13285777975923,1.2307692307692308,2.3,84.11250000000001,18,21
104,119,0,GSW,0.424,0.495,0.33299999999999996,0.45899999999999996,23,19,40,20,92,22,93,18,10,13,94.97716894977168,108.67579908675799,1.2105263157894737,2.0,109.5,18,30
108,104,1,POR,0.519,0.396,0.368,0.345,20,14,20,9,77,32,91,27,8,10,115.49258120572117,111.21507819810186,1.4285714285714286,2.2222222222222223,93.5125,18,23
103,102,1,MIL,0.494,0.532,0.33299999999999996,0.455,27,14,26,16,79,24,79,9,14,8,113.38929406907938,112.28842713636989,1.9285714285714286,1.625,90.8375,18,1
107,98,1,HOU,0.457,0.429,0.45,0.31,25,18,19,20,81,32,77,31,12,8,101.94116946528521,93.36667857568179,1.3888888888888888,0.95,104.9625,18,19
81,105,0,PHO,0.34700000000000003,0.44,0.171,0.45799999999999996,13,10,19,20,98,8,84,26,9,10,72.59690790947793,94.10710284561955,1.3,0.95,111.57499999999999,18,25
115,98,0,NOP,0.529,0.494,0.5,0.304,27,13,25,9,85,13,83,11,11,8,124.72885032537961,106.29067245119307,2.076923076923077,2.7777777777777777,92.19999999999999,18,28
98,109,0,SAS,0.38799999999999996,0.488,0.33299999999999996,0.5,25,6,33,10,98,18,86,20,17,10,96.5279487810884,107.36271854223097,4.166666666666667,3.3,101.525,18,26
107,114,1,PHO,0.456,0.506,0.20800000000000002,0.556,24,11,22,19,90,26,79,25,14,10,101.79569508859556,108.45522654298965,2.1818181818181817,1.1578947368421053,105.1125,18,25
105,118,1,GSW,0.43,0.528,0.267,0.517,23,19,35,21,86,35,89,13,13,11,99.62049335863377,111.95445920303604,1.2105263157894737,1.6666666666666667,105.4,18,30
94,111,1,LAC,0.397,0.46799999999999997,0.32,0.4,16,16,24,7,78,29,79,47,8,11,95.86945436002038,113.20754716981132,1.0,3.4285714285714284,98.05000000000001,18,17
80,91,1,SAS,0.40299999999999997,0.48,0.35,0.364,17,18,22,18,77,13,75,14,8,5,84.28816014750429,95.87778216778614,0.9444444444444444,1.2222222222222223,94.9125,18,26
81,92,0,DAL,0.4,0.429,0.32,0.26899999999999996,17,20,18,13,75,17,77,27,10,10,88.09135399673735,100.05437737901033,0.85,1.3846153846153846,91.95,18,22
74,92,0,MIL,0.373,0.455,0.316,0.33299999999999996,19,22,25,13,75,16,77,22,10,8,79.97838422048095,99.43258578762496,0.8636363636363636,1.9230769230769231,92.525,18,1
90,99,0,CHI,0.387,0.40399999999999997,0.33299999999999996,0.353,26,7,22,14,93,22,89,27,13,15,88.98776418242491,97.8865406006674,3.7142857142857144,1.5714285714285714,101.1375,18,11
106,105,0,TOR,0.469,0.424,0.444,0.29600000000000004,30,11,21,4,81,18,92,22,6,9,117.1270718232044,116.02209944751381,2.727272727272727,5.25,90.5,18,2
108,105,0,PHI,0.457,0.5,0.355,0.484,25,17,22,20,81,38,74,26,13,7,103.1518624641834,100.28653295128942,1.4705882352941178,1.1,104.69999999999999,18,6
74,85,1,ORL,0.33299999999999996,0.43200000000000005,0.292,0.063,19,17,14,20,84,20,88,10,10,10,74.27854454203262,85.31994981179423,1.1176470588235294,0.7,99.625,18,8
111,108,1,MIN,0.442,0.43700000000000006,0.39299999999999996,0.368,21,12,22,10,86,33,87,29,8,8,107.01373825018077,104.12147505422995,1.75,2.2,103.725,18,29
114,108,1,HOU,0.512,0.47100000000000003,0.32,0.45,26,18,26,11,82,25,87,11,15,5,119.93687532877433,113.62440820620728,1.4444444444444444,2.3636363636363638,95.05,18,19
112,100,0,MIN,0.562,0.46799999999999997,0.556,0.4,24,14,21,9,73,27,77,31,10,10,126.87623902577172,113.28235627301046,1.7142857142857142,2.3333333333333335,88.275,18,29
88,97,0,UTA,0.392,0.466,0.214,0.4,15,14,15,14,79,25,73,25,15,5,92.7536231884058,102.23978919631094,1.0714285714285714,1.0714285714285714,94.875,18,21
125,130,1,NOP,0.469,0.564,0.486,0.45799999999999996,26,5,24,10,96,22,78,39,13,7,115.754138210441,120.38430373885865,5.2,2.4,107.98750000000001,18,28
107,111,1,LAL,0.456,0.47600000000000003,0.36,0.26899999999999996,26,12,17,11,90,19,84,32,13,11,105.30200516668715,109.23852872432032,2.1666666666666665,1.5454545454545454,101.61250000000001,18,16
104,96,0,PHO,0.462,0.414,0.4,0.52,26,17,21,16,91,13,87,17,13,12,101.8359853121175,94.00244798041616,1.5294117647058822,1.3125,102.125,18,25
